stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Mahyar Mohamammadyar\documents\visual studio 2015\Projects\Meet in the middle game board\Debug\allegro5.cfg r
system   D            wsystem.c:834  maybe_parent_dir                 [   0.00000] Also searching C:\Users\Mahyar Mohamammadyar\documents\visual studio 2015\Projects\Meet in the middle game board\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:795  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:798  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.8
dtor     D               dtor.c:196  _al_register_destructor          [   0.01324] added dtor for timer 00E65BB8, func 6A23197E
dtor     D               dtor.c:196  _al_register_destructor          [   0.01451] added dtor for queue 00E65AA8, func 6A23171C
system   D            wsystem.c:834  maybe_parent_dir                 [   0.01719] Also searching C:\Users\Mahyar Mohamammadyar\documents\visual studio 2015\Projects\Meet in the middle game board\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.01779] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:795  load_library_at_path             [   0.01799] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:798  load_library_at_path             [   0.10926] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.32642] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.32751] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.32774] al_display=00E797C8
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.32789] al_display->vt=00E6FF48
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.40095] found 128 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.40127] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.40144] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.40158] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.40174] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.40187] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.40203] Score is : 785
display  D   display_settings.c:214  debug_display_settings           [   0.40216] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.40231] Score is : 793
display  D   display_settings.c:214  debug_display_settings           [   0.40244] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.40259] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.40278] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.40293] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.40307] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.40322] Score is : 785
display  D   display_settings.c:214  debug_display_settings           [   0.40335] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.40364] Score is : 793
display  D   display_settings.c:214  debug_display_settings           [   0.40380] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.40396] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.40409] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.40424] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.40437] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.40453] Score is : 785
display  D   display_settings.c:214  debug_display_settings           [   0.40466] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.40482] Score is : 793
